Policy,Number of Clients,Total commands,Sliding Window Time,Sliding Window Throughput,Sliding Window I/O,Overall Time,Overall Throughput,Overall I/O
Leveled,1,1000000,3.33,300156.53,88504,3.33,300156.53,88504
Leveled,1,2000000,7.3,136998.78,213038,10.63,188130.28,301542
Leveled,1,3000000,7.81,128043.02,228943,18.44,162682.69,530485
Leveled,1,4000000,8.21,121739.29,235676,26.66,150065.19,766161
Leveled,1,5000000,8.46,118144.66,239960,35.12,142371.93,1006121
Leveled,1,6000000,8.67,115383.01,242803,43.79,137029.88,1248924
Leveled,1,7000000,8.66,115504.94,248503,52.44,133476.45,1497427
Leveled,1,8000000,8.77,114074.53,248383,61.21,130697.8,1745810
Leveled,1,9000000,9.04,110592.29,249488,70.25,128110,1995298
Leveled,1,10000000,9.03,110757.29,250496,79.28,126133.82,2245794
Leveled,1,11000000,8.86,112901.48,251364,88.14,124804.06,2497158
Leveled,1,12000000,9.31,107383.81,251961,97.45,123139.37,2749119
Leveled,1,13000000,9.48,105512.79,253304,106.93,121577.05,3002423
Leveled,1,14000000,9.66,103547.86,253097,116.59,120083.6,3255520
Leveled,1,15000000,9.26,107995.86,252765,125.85,119194.19,3508285
Leveled,1,16000000,9.3,107548.98,252813,135.14,118392.98,3761098
Leveled,1,17000000,9.83,101735.12,253956,144.97,117263.54,4015054
Leveled,1,18000000,9.13,109476.46,254734,154.11,116801.98,4269788
Leveled,1,19000000,9.48,105479.4,254814,163.59,116145.79,4524602
Leveled,1,20000000,9.54,104808.66,256502,173.13,115520.99,4781104
Leveled,10,1000000,4.5,222270.48,86553,4.5,222270.48,86553
Leveled,10,2000000,8.57,116702.73,212037,13.07,153047.91,298590
Leveled,10,3000000,9,111146.2,231546,22.06,135962.16,530136
Leveled,10,4000000,9.1,109937.33,233908,31.16,128365.36,764044
Leveled,10,5000000,9.27,107819.78,242328,40.44,123652.83,1006372
Leveled,10,6000000,9.37,106676.1,242085,49.81,120457.83,1248457
Leveled,10,7000000,9.12,109654.64,251076,58.93,118786,1499533
Leveled,10,8000000,8.66,115411.1,248497,67.59,118353.38,1748030
Leveled,10,9000000,8.46,118214.5,248484,76.05,118337.93,1996514
Leveled,10,10000000,8.5,117705.77,248163,84.55,118274.41,2244677
Leveled,10,11000000,8.32,120151.48,249846,92.87,118442.63,2494523
Leveled,10,12000000,9.36,106832.07,251536,102.23,117379.56,2746059
Leveled,10,13000000,8.69,115037.12,252503,110.93,117195.99,2998562
Leveled,10,14000000,8.63,115844.87,252603,119.56,117098.43,3251165
Leveled,10,15000000,8.71,114798.77,254142,128.27,116942.26,3505307
Leveled,10,16000000,8.78,113840.85,253388,137.05,116743.48,3758695
Leveled,10,17000000,10.65,93911.91,253618,147.7,115097.47,4012313
Leveled,10,18000000,9.7,103099.69,252479,157.4,114358.14,4264792
Leveled,10,19000000,9.47,105620.59,254883,166.87,113862.38,4519675
Leveled,10,20000000,9.4,106375.44,257649,176.27,113463.09,4777324
Lazy Leveled,1,1000000,3.78,264890,88504,3.78,264890,88504
Lazy Leveled,1,2000000,7.96,125558.94,218025,11.74,170364.44,306529
Lazy Leveled,1,3000000,8.87,112727.47,241366,20.61,145556.93,547895
Lazy Leveled,1,4000000,9.3,107539.79,254821,29.91,133737.32,802716
Lazy Leveled,1,5000000,9.86,101456.92,266637,39.77,125736.25,1069353
Lazy Leveled,1,6000000,10.48,95394.99,267728,50.25,119406.53,1337081
Lazy Leveled,1,7000000,8.95,111751.42,248503,59.2,118249.35,1585584
Lazy Leveled,1,8000000,8.85,113033.57,248383,68.04,117571.21,1833967
Lazy Leveled,1,9000000,8.96,111603.63,249488,77,116876.81,2083455
Lazy Leveled,1,10000000,9.13,109552.09,250496,86.13,116100.56,2333951
Lazy Leveled,1,11000000,8.9,112378.38,251364,95.03,115752.02,2585315
Lazy Leveled,1,12000000,9.37,106686.91,251961,104.4,114938.17,2837276
Lazy Leveled,1,13000000,9.16,109112.83,253304,113.57,114468.07,3090580
Lazy Leveled,1,14000000,9.59,104287.71,253097,123.16,113675.44,3343677
Lazy Leveled,1,15000000,9.83,101750.26,252765,132.99,112794.14,3596442
Lazy Leveled,1,16000000,9.58,104334.31,252813,142.57,112225.41,3849255
Lazy Leveled,1,17000000,10.25,97599.42,253956,152.82,111244.77,4103211
Lazy Leveled,1,18000000,9.39,106483.84,254734,162.21,110969.13,4357945
Lazy Leveled,1,19000000,9.23,108339.24,254814,171.44,110827.54,4612759
Lazy Leveled,1,20000000,9.39,106503.33,256502,180.83,110603.01,4869261
Lazy Leveled,10,1000000,4.54,220100.07,86508,4.54,220100.07,86508
Lazy Leveled,10,2000000,7.17,139386.87,217123,11.72,170682.46,303631
Lazy Leveled,10,3000000,7.89,126668.28,243445,19.61,152965.21,547076
Lazy Leveled,10,4000000,8.25,121213.87,253363,27.86,143563.76,800439
Lazy Leveled,10,5000000,8.54,117032.64,268961,36.41,137336.94,1069400
Lazy Leveled,10,6000000,8.99,111276.49,267083,45.39,132177.7,1336483
Lazy Leveled,10,7000000,8.51,117448.01,251061,53.91,129851.24,1587544
Lazy Leveled,10,8000000,8.31,120324.85,248531,62.22,128578.75,1836075
Lazy Leveled,10,9000000,8.39,119198.14,248414,70.61,127464.18,2084489
Lazy Leveled,10,10000000,8.43,118584.38,248027,79.04,126516.8,2332516
Lazy Leveled,10,11000000,8.35,119772.4,249827,87.39,125872.45,2582343
Lazy Leveled,10,12000000,9.24,108281.7,251502,96.63,124191.17,2833845
Lazy Leveled,10,13000000,8.62,116031.28,252636,105.24,123522.96,3086481
Lazy Leveled,10,14000000,8.6,116276.88,252592,113.84,122975.56,3339073
Lazy Leveled,10,15000000,8.74,114374.76,254067,122.59,122362.13,3593140
Lazy Leveled,10,16000000,8.73,114576.78,253452,131.31,121844.68,3846592
Lazy Leveled,10,17000000,10.11,98901.88,253545,141.43,120204.42,4100137
Lazy Leveled,10,18000000,9.31,107388.26,252567,150.74,119412.69,4352704
Lazy Leveled,10,19000000,9.2,108656.83,254992,159.94,118793.77,4607696
Lazy Leveled,10,20000000,9.09,110018.55,257561,169.03,118321.9,4865257
Tiered,1,1000000,3.31,301734.58,88504,3.31,301734.58,88504
Tiered,1,2000000,7.24,138067.65,218025,10.56,189447.8,306529
Tiered,1,3000000,8.16,122515.21,241366,18.72,160262.82,547895
Tiered,1,4000000,8.84,113109.88,254821,27.56,145136.76,802716
Tiered,1,5000000,9.35,106997.79,266637,36.91,135478.59,1069353
Tiered,1,6000000,9.82,101826.15,267728,46.73,128405.8,1337081
Tiered,1,7000000,8.74,114407.69,252795,55.47,126199.95,1589876
Tiered,1,8000000,9.22,108445.17,261494,64.69,123669.04,1851370
Tiered,1,9000000,9.69,103161.64,271070,74.38,120996.51,2122440
Tiered,1,10000000,10.24,97676.33,279720,84.62,118175.09,2402160
Tiered,1,11000000,10.86,92121.43,289106,95.48,115212.87,2691266
Tiered,1,12000000,9.39,106475.78,258272,104.87,114430.39,2949538
Tiered,1,13000000,9.63,103872.05,268476,114.49,113542.59,3218014
Tiered,1,14000000,10.11,98919.58,276700,124.6,112356.21,3494714
Tiered,1,15000000,10.72,93291.05,285044,135.32,110846.03,3779758
Tiered,1,16000000,11.22,89102.94,293575,146.55,109180.87,4073333
Tiered,1,17000000,10.54,94873.97,272203,157.09,108220.89,4345536
Tiered,1,18000000,9.97,100287.19,271173,167.06,107747.34,4616709
Tiered,1,19000000,10.57,94567.81,280470,177.63,106962.77,4897179
Tiered,1,20000000,11.36,88023.95,291030,188.99,105824.33,5188209
Tiered,10,1000000,4.38,228187.92,86223,4.38,228187.92,86223
Tiered,10,2000000,7.26,137730.33,216997,11.64,171778.24,303220
Tiered,10,3000000,8.01,124877.99,243457,19.65,152666.05,546677
Tiered,10,4000000,8.32,120199.27,253261,27.97,143009.08,799938
Tiered,10,5000000,8.75,114317.58,269509,36.72,136173.68,1069447
Tiered,10,6000000,9.12,109596.84,267092,45.84,130883.87,1336539
Tiered,10,7000000,8.74,114471.35,255304,54.58,128256.86,1591843
Tiered,10,8000000,8.64,115784.63,261371,63.21,126552.84,1853214
Tiered,10,9000000,8.86,112893.82,269902,72.07,124874.11,2123116
Tiered,10,10000000,8.99,111235.51,277686,81.06,123361.58,2400802
Tiered,10,11000000,9.31,107431.13,287569,90.37,121720.72,2688371
Tiered,10,12000000,8.72,114736.91,257980,99.09,121106.43,2946351
Tiered,10,13000000,8.7,114916.47,267733,107.79,120606.7,3214084
Tiered,10,14000000,8.99,111211.98,276465,116.78,119883.33,3490549
Tiered,10,15000000,9.26,107963.78,286498,126.04,119007.4,3777047
